URL,Status,Error,V,T,F,Timestamp,Duration (s)
ligagame.com,ERROR,Timeout & Unreachable,0,0,0,2026-06-08T09:45:48.255785,78.69
nintendolife.com,ERROR,"Page.evaluate: Execution context was destroyed, most likely ",0,0,0,2026-06-08T09:47:10.469854,22.68
pushsquare.com,ERROR,"Page.evaluate: Execution context was destroyed, most likely ",0,0,0,2026-06-08T09:47:17.686816,21.16
purexbox.com,ERROR,"Page.evaluate: Execution context was destroyed, most likely ",0,0,0,2026-06-08T09:47:19.829184,25.48
jpnn.com,ERROR,Timeout & Unreachable,0,0,0,2026-06-08T09:50:09.775271,30.97
kominfo.go.id,ERROR,Page.goto: net::ERR_NAME_NOT_RESOLVED at https://kominfo.go.,0,0,0,2026-06-08T09:50:55.282942,3.21
kemdikbud.go.id,ERROR,Page.goto: net::ERR_NAME_NOT_RESOLVED at https://kemdikbud.g,0,0,0,2026-06-08T09:51:04.760108,2.51
kemkes.go.id,ERROR,Page Blank,0,0,0,2026-06-08T09:51:23.597075,6.84
sekolah.mu,ERROR,Page Blank,0,0,0,2026-06-08T09:51:37.147281,15.93
ajaib.co.id,ERROR,Page Blank,0,0,0,2026-06-08T09:51:49.328604,9.04
brainpop.com,ERROR,"Page.evaluate: Execution context was destroyed, most likely ",0,0,0,2026-06-08T09:51:39.284392,21.28
lazada.co.id,ERROR,Page.evaluate: TypeError: Cannot read properties of null (re,0,0,0,2026-06-08T09:53:14.109831,15.28
gearboxsoftware.com,ERROR,Page.evaluate: TypeError: Cannot read properties of null (re,0,0,0,2026-06-08T09:53:54.646571,13.22
gamejolt.com,ERROR,"Page.evaluate: Execution context was destroyed, most likely ",0,0,0,2026-06-08T09:54:24.784577,12.23
