URL,Visual Tags,Keywords,Visual Score,Text Score,Final Score,Timestamp,Duration (s)
slingo.com,pool:0.34; pool:0.30; pool:0.26,rtp:6; live:6; dealer:1; baccarat:1; slot:39; casino:20; bet:7; deposit:4,15.07,100,57.54,2026-06-08T09:39:35.837019,22.14
freemahjong.org,mahjong_card:0.81; mahjong_card:0.78; mahjong_card:0.71; mahjong_card:0.68; mahjong_card:0.65; mahjong_card:0.63; mahjong_card:0.50; mahjong_card:0.40; mahjong_card:0.35; mahjong_card:0.26; mahjong_card:0.26,,100,0,50.0,2026-06-08T09:39:58.384641,22.52
gametop.com,mahjong:0.73; mahjong:0.50; mahjong:0.50,olympus:1,100,25,62.5,2026-06-08T09:40:23.365342,16.69
hoyoverse.com,koin:0.38,gacor:1; rtp:1; bet:3,5.0,100,52.5,2026-06-08T09:41:55.652204,17.15
