URL,Visual Tags,Keywords,Visual Score,Text Score,Final Score,Timestamp,Duration (s)
hellogames.org,,,0,0,0.0,2026-06-08T09:54:20.108444,14.37
gameforge.com,,,0,0,0.0,2026-06-08T09:54:29.192646,23.22
tencent.com,,bet:2,0,10,5.0,2026-06-08T09:54:20.949831,33.75
pcgamesn.com,,live:1; bet:1,0,25,12.5,2026-06-08T09:54:32.763048,27.69
gamesindustry.biz,,live:5; withdraw:1,0,0,0.0,2026-06-08T09:54:38.925294,25.39
wccftech.com,,live:1; bet:5,0,25,12.5,2026-06-08T09:54:35.304695,33.12
twinfinite.net,,,0,0,0.0,2026-06-08T09:54:36.323212,35.04
screenrant.com,,live:1; bet:5,0,25,12.5,2026-06-08T09:55:03.444665,17.93
gamedeveloper.com,,bet:1,0,10,5.0,2026-06-08T09:54:56.983376,26.57
hltv.org,,live:6; bet:4,0,25,12.5,2026-06-08T09:55:12.353562,17.82
liquipedia.net,pragmatic:0.28,,36.14,0,18.07,2026-06-08T09:55:07.447718,25.31
op.gg,,,0,0,0.0,2026-06-08T09:55:23.371096,22.74
gamingbible.com,,,0,0,0.0,2026-06-08T09:54:58.244480,50.16
tracker.gg,,live:1,0,15,7.5,2026-06-08T09:55:25.023080,26.58
vlr.gg,,live:1; slot:2; bet:6,0,35,17.5,2026-06-08T09:55:33.918840,24.54
eslgaming.com,,live:132,0,15,7.5,2026-06-08T09:55:35.089387,26.98
